Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Adrese,Tālrunis,E-pasts,Novads/Pilsēta,Likvidēta,visc_kods,pasvaldiba,urban,valoda,lat,lng
"Mācību centrs ""Servers A""",3360800824,Komercsabiedrības struktūrvienība,SERVERS ALIJEVS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""SERVERS A""","Sabiedrība ar ierobežotu atbildību ""SERVERS A""","BRĪVĪBAS GATVE 229 - 22, RĪGA, LV-1039","67333255, 67553962, 29207616",serversa@inbox.lv,Rīga,N,,,,,56.9762352,24.1756799
"Mācību centrs ""SIGMA""",3360800633,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""PRIVĀTĀ SKOLA""","SIA ""PRIVĀTĀ SKOLA""","ĢERTRŪDES IELA 41 - 1a, RĪGA, LV-1011",67225419,ppvs@inbox.lv,Rīga,N,,,,,56.9539485,24.1292586
"Mācību centrs ""SOCIO""",3360800694,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Biedrība ""SVĒTĀ JĀŅA PALĪDZĪBA""","Biedrība ""SVĒTĀ JĀŅA PALĪDZĪBA""","HOSPITĀĻU IELA 55, RĪGA, LV-1013",67339190,svjp@apollo.lv,Rīga,N,,,,,56.9776238,24.1418296
"Mācību centrs ""SOLUTION""",3360800703,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""EMP Solution""","SIA ""EMP Solution""","DZIRNAVU IELA 34a - 40, RĪGA, LV-1010",67282090,empsolution@inbox.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"Mācību centrs ""Solve""",3360800445,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""STELLA-A.B.""","Sabiedrība ar ierobežotu atbildību ""STELLA-A.B.""","BRĪVĪBAS GATVE 224/4, RĪGA, LV-1039",67801165,sol@delfi.lv,Rīga,N,,,,,56.9710678,24.1649866
"Mācību centrs ""Soneil Studio""",3360800292,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""Soneil Studio""","SIA ""Soneil Studio""","ĢERTRŪDES IELA 51 - 1, RĪGA, LV-1011","67298388, 67298389",info@soneilstudio.lv,Rīga,N,,,,,56.952928,24.1311077
"Mācību centrs ""STAR NAILS""",3360800245,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""NailsCity""","SIA ""NailsCity""","KRIŠJĀŅA BARONA IELA 88, RĪGA, LV-1001",67298841,nailcity@inbox.lv,Rīga,N,,,,,56.9582882,24.1359351
"Mācību centrs ""Study for life""",3380800502,Komercsabiedrības struktūrvienība,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo neformālās izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""EKOCENTRS""","Sabiedrība ar ierobežotu atbildību ""EKOCENTRS""","TĒRBATAS IELA 6/8 - 72, RĪGA, LV-1050","67280080, 67284887",ekocentrs@parks.lv,Rīga,J,,,,,56.9532484,24.1205528
"Mācību centrs ""TeleTRADE Liepāja""",3060800672,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""TeleTRADE Riga""","Sabiedrība ar ierobežotu atbildību ""TeleTRADE Riga""","ZIVJU IELA 3, LIEPĀJA, LV-3401",67350129,info@teletrade.lv,Liepāja,N,,,,,56.5072974,21.0122443
"Mācību centrs ""TeleTRADE Riga""",3360800637,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""TeleTRADE Riga""","Sabiedrība ar ierobežotu atbildību ""TeleTRADE Riga""","ELIZABETES IELA 51 - 8, RĪGA, LV-1010",67547398,info@teletrade.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"Mācību centrs ""Triviums apmācība""",3360800742,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Triviums apmācība""","Sabiedrība ar ierobežotu atbildību ""Triviums apmācība""","BLAUMAŅA IELA 11/13 - 2, RĪGA, LV-1011",67282219,triviums@triviums.lv,Rīga,N,,,,,56.9537324,24.1240634
"Mācību centrs ""Ugunsdrošības Centrs""",3360800755,Juridiskā vai fiziskā persona,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""Ugunsdrošības Centrs""","SIA ""Ugunsdrošības Centrs""","MASKAVAS IELA 58b, RĪGA, LV-1003",67185400,ucentrs@inbox.lv,Rīga,N,,,,,56.93975,24.1262047
"Mācību centrs ""UNIKUMS""",3360800512,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Pieaugušo izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Studiju centrs UNIKUMS""","Sabiedrība ar ierobežotu atbildību ""Studiju centrs UNIKUMS""","OZOLCIEMA IELA 12/4 - 14, RĪGA, LV-1058",67461281,,Rīga,J,,,,,56.9013836,24.0886575
"Mācību centrs ""Vecāku skola""",3360800673,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Latvijas Vecāku apvienība ""Vecāki izglītībai, sadarbībai, izaugsmei""","Latvijas Vecāku apvienība ""Vecāki izglītībai, sadarbībai, izaugsmei""","SKOLAS IELA 30 - 21, RĪGA, LV-1010",26544725,so-visi@inbox.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"Mācību centrs ""VENDI""",4460800677,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"""DARBA AIZSARDZĪBA ""VENDI"""" SIA","""DARBA AIZSARDZĪBA ""VENDI"""" SIA","GAUJAS IELA 10 - 1, CĒSIS, CĒSU NOVADS, LV-4101",28333824,da.vendi@inbox.lv,Cēsu novads,N,,,,,57.3103891,25.2651065
"Mācību centrs ""VERTEKS""",3360800114,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Pieaugušo izglītības iestāde,"I.Oses I/u ""Aģentūra VERTEKS""","I.Oses I/u ""Aģentūra VERTEKS""","GRĒCINIEKU IELA 10, RĪGA, LV-1050",67553414  29859990,,Rīga,J,,,,,56.9468695,24.1089843
"Mācību centrs ""Veselības un Fitnesa institūts""",4360800883,Komercsabiedrības struktūrvienība,EGIJA GUDERMANE,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Health & Fitness""","Sabiedrība ar ierobežotu atbildību ""Health & Fitness""","""Ataugas"", BALTEZERS, ĀDAŽU NOVADS, LV-2164",26376755,info@vfi.lv,Ādažu novads,N,,,,,57.0361587,24.3175227
"Mācību centrs ""VIANOVA SYSTEMS LATVIA""",3360800722,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"""VIANOVA SYSTEMS LATVIA"" sabiedrība ar ierobežotu atbildību","""VIANOVA SYSTEMS LATVIA"" sabiedrība ar ierobežotu atbildību","DĀRZCIEMA IELA 70 - 47, RĪGA, LV-1055",67612201,kursi@vianova.lv,Rīga,N,,,,,56.9367244,24.1810161
"Mācību centrs ""Vides risinājumi""",3360800388,Komercsabiedrības struktūrvienība,DACE ĀRIŅA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""Vides risinājumi""","SIA ""Vides risinājumi""","KURŠU IELA 9 - 2, RĪGA, LV-1006","67551381, 29484101",zanda@agito.lv,Rīga,N,,,,,56.9790351,24.1883781
"Mācību centrs ""Viktorija""",2780801014,Biedrības struktūrvienība,LUDMILA FJODOROVA,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo neformālās izglītības iestāde,"Biedrība ""Konsultāciju centrs ""Viktorija""""","Biedrība ""Konsultāciju centrs ""Viktorija""""","STADIONA IELA 6B - 3, DAUGAVPILS, LV-5401",29555408,info@kcv.lv,Daugavpils,N,,,,,55.8787526,26.5169817
"Mācību centrs ""VIP konsultācijas""",3360800460,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""VIP konsultācijas""","SIA ""VIP konsultācijas""","BAUSKAS IELA 58a, RĪGA, LV-1004","67103177, 67103173",vip@vip.com.lv,Rīga,N,,,,,56.9184495,24.1042038
Mācību centrs „AAA”,1560800548,Fiziskas personas dibināta iestāde,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,IK „AAA”,IK „AAA”,"RAIŅA IELA 8, LUDZA, LUDZAS NOVADS, LV-5700",29198920,andris_a_a@inbox.lv,Ludzas novads,N,,,,,56.5444004,27.7255282
Mācību centrs „Amats un Dizains”,3360801007,Komercsabiedrības struktūrvienība,MONVĪDS MELDERIS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „Amats un Dizains”,Sabiedrība ar ierobežotu atbildību „Amats un Dizains”,"VALDEĶU IELA 1 - 33, RĪGA, LV-1004",26146254,info@mcad.lv,Rīga,N,,,,,56.9185119,24.0934781
Mācību centrs „ATELIER”,3360800551,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,SIA „ATELIER”,SIA „ATELIER”,"KALPAKA BULVĀRIS 10, RĪGA, LV-1050",67240194,info@atelier.lv,Rīga,N,,,,,56.9546124,24.110125
Mācību centrs „BBK”,3360800550,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „Karjeras izaugsmes koledža”,Sabiedrība ar ierobežotu atbildību „Karjeras izaugsmes koledža”,"BIŠU IELA 20, RĪGA, LV-1002",67504048,info@bbk.lv,Rīga,N,,,,,56.9397675,24.07589
Mācību centrs „BBP”,3060800584,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību ”Baltic business projects”,Sabiedrība ar ierobežotu atbildību ”Baltic business projects”,"PELDU IELA 41-2, LIEPĀJA, LV-3401",63434640,bbp@apollo.lv,Liepāja,N,,,,,56.5060161,21.0001211
Mācību centrs „Birojs - Pilsēta”,3060800579,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „RĪGAS INFORMĀCIJAS BIROJS-PILSĒTA”,Sabiedrība ar ierobežotu atbildību „RĪGAS INFORMĀCIJAS BIROJS-PILSĒTA”,"PELDU IELA 41 - 2, LIEPĀJA, LV-3401",67284497,info@ribpilseta.lv,Liepāja,N,,,,,56.5060161,21.0001211
Mācību centrs „Bogomolov Image School”,3360800580,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,SIA „ATELIER”,SIA „ATELIER”,"KALPAKA BULVĀRIS 10, RĪGA, LV-1050",67240194,info@atelier.lv,Rīga,N,,,,,56.9546124,24.110125
Mācību centrs „BORGS”,4460800858,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „Borgs & Co”,Sabiedrība ar ierobežotu atbildību „Borgs & Co”,"PILS IELA 25, VARAKĻĀNI, VARAKĻĀNU NOVADS, LV-4838",64866505,borgs.ed@inbox.lv,Varakļānu novads,J,,,,,56.6096122,26.7686385
Mācību centrs „Darba Drošības Centrs”,3360800525,Juridiskā vai fiziskā persona,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,SIA „Darba Drošības Centrs”,SIA „Darba Drošības Centrs”,"BRĪVĪBAS GATVE 219 - 7, RĪGA, LV-1039",67274712,ddc@osh.lv,Rīga,N,,,,,56.9754905,24.1732584
Mācību centrs „FAME”,3360800539,Juridiskā vai fiziskā persona,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,,,,,,,J,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
Mācību centrs „Forvaters”,3360800577,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „Forvaters”,Sabiedrība ar ierobežotu atbildību „Forvaters”,"BRUŅINIEKU IELA 5, RĪGA, LV-1010",67315767,Andra.Ergle@apollo.lv,Rīga,N,,,,,56.9609434,24.1241218
Mācību centrs „Inspecta Academy”,3360800804,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,A/S „Inspecta Latvia”,A/S „Inspecta Latvia”,"SKANSTES IELA 54a, RĪGA, LV-1013",67607900,info@inspecta.lv,Rīga,J,,,,,56.9779811,24.131433
Mācību centrs „KIKO”,2260800696,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,SIA „KI & CO PLUS”,SIA „KI & CO PLUS”,"JAUNĀ IELA 4a - 22, TALSI, TALSU NOVADS, LV-3701",67702911,info@kicoplus.com,Talsu novads,N,,,,,57.2444529,22.583115
Mācību centrs „LV.Bonna”,3360800572,Juridiskā vai fiziskā persona,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,,,,,,,J,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
Mācību centrs „Mana Skola”,3360800531,Juridiskā vai fiziskā persona,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,,,,,,,J,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
Mācību centrs „Sociālo Interešu Institūts”,3360800570,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Biedrība ""Sociālo Interešu Institūts""","Biedrība ""Sociālo Interešu Institūts""","JURA ALUNĀNA IELA 8 - 1, RĪGA, LV-1010",67338117 26665533,info@sii.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
Mācību centrs „SPA SCHOOL”,3360800565,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „SPA SCHOOL”,Sabiedrība ar ierobežotu atbildību „SPA SCHOOL”,"KALPAKA BULVĀRIS 10, RĪGA, LV-1050",67244455,info@spaschool.lv,Rīga,N,,,,,56.9546124,24.110125
Mācību centrs „Valodu Serviss”,3360800556,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „Larsone”,Sabiedrība ar ierobežotu atbildību „Larsone”,"KRIŠJĀŅA BARONA IELA 13/15 - 37, RĪGA, LV-1011","67282135, 26290932","birojs@valoduserviss.lv, valoduserviss@inbox.lv",Rīga,N,,,,,56.9522607,24.1229624
Mācību centrs „Viesnīcu biznesa organizācijas skola”,3360800860,Komercsabiedrības struktūrvienība,JŪLIJA PASNAKA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""HOTEL SCHOOL"" Viesnīcu biznesa koledža","SIA ""HOTEL SCHOOL"" Viesnīcu biznesa koledža","SMILŠU IELA 3, RĪGA, LV-1050",67213037,info@hotelschool.lv,Rīga,J,,,,,56.9505808,24.1078115
Mācību centrs „Vizāžistu mākslas skola POETICA”,3360800586,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību ”POETICA”,Sabiedrība ar ierobežotu atbildību ”POETICA”,"LĪVCIEMA IELA 10 - 5, RĪGA, LV-1058","67281575, 22311230",info@poetica.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
Mācību centrs Austrumi,3160800788,Komercsabiedrības struktūrvienība,ASTRA VISOCKA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""MĀCĪBU CENTRS AUSTRUMI""","Sabiedrība ar ierobežotu atbildību ""MĀCĪBU CENTRS AUSTRUMI""","RAIŅA IELA 5a, RĒZEKNE, LV-4601",26430483,macibu.austrumi@inbox.lv,Rēzekne,N,,,,,56.5056546,27.3362928
Mācību centrs BRIĻ,3360800735,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Z2""","Sabiedrība ar ierobežotu atbildību ""Z2""","GRĪVAS IELA 11/14 - 1, RĪGA, LV-1055","67240022, 29135160",z2sia@inbox.lv,Rīga,N,,,,,56.9665456,24.0506783
Mācību centrs DeVision,3360800908,Komercsabiedrības struktūrvienība,KRISTĪNE TUNSKERE,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""DeVision""","Sabiedrība ar ierobežotu atbildību ""DeVision""","TALLINAS IELA 17 - 1, RĪGA, LV-1012",67374113,kristine.tunskere@gmail.com,Rīga,N,,,,,56.9643436,24.1354635
"Mācību centrs Dizaina studija ""Poētika""",3360800194,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""POĒTIKA""","Sabiedrība ar ierobežotu atbildību ""POĒTIKA""","ERNESTĪNES IELA 8 - 39, RĪGA, LV-1002",67221194,poetika@poetika.lv,Rīga,N,,,,,56.9426182,24.0725817
Mācību centrs Elena,2560800872,Komercsabiedrības struktūrvienība,SANDRA LEIMANE,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""MINERVA R.S""","Sabiedrība ar ierobežotu atbildību ""MINERVA R.S""","GARĀ IELA 8, VALMIERA, LV-4201",29299287,elena_valmiera@apollo.lv,Valmiera,N,,,,,57.5367178,25.4151931
Mācību centrs Fonikss,3360800100,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""SIA """"Fonikss""""""","""SIA """"Fonikss""""""","Citadeles 12, RĪGA, LV-1010",7245157,,Rīga,J,,,,,56.9554853,24.1009378
Mācību centrs Fxcompany,3380800498,Komercsabiedrības struktūrvienība,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo neformālās izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""LATTELETRADE""","Sabiedrība ar ierobežotu atbildību ""LATTELETRADE""","VALGUMA IELA 22 - 32, RĪGA, LV-1048","67332418, 67332419",kris@latteletrade.lv,Rīga,N,,,,,56.9427514,24.0911554
Mācību centrs ILEAR,3360800587,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,SIA ”ILEAR”,SIA ”ILEAR”,"LIEDES IELA 21, RĪGA, LV-1029",67228828,ilear@apollo.lv,Rīga,N,,,,,56.9422257,24.0220242
Mācību centrs Kolonna,3360800198,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""BALTIC COSMETIC HOLDING""","Sabiedrība ar ierobežotu atbildību ""BALTIC COSMETIC HOLDING""","KRIŠJĀŅA VALDEMĀRA IELA 20 - 6, RĪGA, LV-1010",67501970,skola@kolonna.lv,Rīga,N,,,,,56.9577508,24.116514
Mācību centrs Kolorance,2860800449,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Pieaugušo izglītības iestāde,"I.D.U. ""Kolorance""","I.D.U. ""Kolorance""","DOBELES IELA 48, JELGAVA, LV-3001",63025358,kolorance@inbox.lv,Jelgava,J,,,,,56.6532515,23.7145357
"Mācību centrs lieliem un maziem ""Klasīte""",2360800270,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Biedrība „Mācību centrs lieliem un maziem”,Biedrība „Mācību centrs lieliem un maziem”,"PASTA IELA 19, TUKUMS, TUKUMA NOVADS, LV-3101","9298982, 28662886",irina@apollo.lv,Tukuma novads,N,,,,,56.967356,23.1602345
Mācību centrs Nail Creation,2060800723,Fiziskas personas dibināta iestāde,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,IK SATAGO,IK SATAGO,"CENTRA IELA 2 - 28, PIŅĶI, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107",67375478,info@nailcreation.lv,Babītes novads,J,,,,,56.942947,23.9074564
Mācību centrs Orsons,3360800779,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""ORSONS""","Sabiedrība ar ierobežotu atbildību ""ORSONS""","BRĪVĪBAS GATVE 333, RĪGA, LV-1006",29790758,orsons@orsons.lv,Rīga,N,,,,,56.9854114,24.2067248
Mācību centrs PRODESSE,4360800813,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""PRODESSE""","Sabiedrība ar ierobežotu atbildību ""PRODESSE""","RĪGAS IELA 14 - 13, OGRE, OGRES NOVADS, LV-5001",65049220,prodesse@prodesse.lv,Ogres novads,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"Mācību centrs-studija ""Baltic Interior""",3380801027,Fiziskas personas dibināta iestāde,INGA ĀBOLA-ADSONE,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo neformālās izglītības iestāde,"IK ""Baltic Interior""","IK ""Baltic Interior""","ĶEGUMA IELA 52/2 - 36, RĪGA, LV-1039",29706781,binterior@inbox.lv,Rīga,N,,,,,56.9667903,24.1944182
"Mācību iestāde ""Educatio""",3360800501,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""SEIŠELA""","Sabiedrība ar ierobežotu atbildību ""SEIŠELA""","EKSPORTA IELA 12 - 221, RĪGA, LV-1045",67281952,educatio@educatio.lv,Rīga,N,,,,,56.9686903,24.0985216
"Mācību konsultāciju centrs ""Gratus""",2760800210,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""A.E.K.S.""","Sabiedrība ar ierobežotu atbildību ""A.E.K.S.""","ŠAURĀ IELA 29a - 58, DAUGAVPILS, LV-5410",65431292,,Daugavpils,N,,,,,55.8931525,26.5457946
"Mācību ražošanas kombināts ""Zerko""",3332800010,Komercsabiedrība,,0,0,Profesionālās pamata un vidējās izglītības iestāde,Arodizglītības iestāde,"J.Tregubova, V.Landjonoks, N.Fedosejeva","J.Tregubova, V.Landjonoks, N.Fedosejeva","GANĪBU DAMBIS 40, RĪGA, LV-1005",67382850,67382850,Rīga,N,,,,,56.9910921,24.1224442
"Mācību studija ""Anita""",2360800472,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""jūsu Sapnis""","SIA ""jūsu Sapnis""","TALSU IELA 17a - 2, TUKUMS, TUKUMA NOVADS, LV-3101","67372927, 26843618",,Tukuma novads,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"Mācību studija ""Curly""",3360800568,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „Mācību studija „Curly””,Sabiedrība ar ierobežotu atbildību „Mācību studija „Curly””,"SERGEJA EIZENŠTEINA IELA 39 - 11, RĪGA, LV-1079","29554840, 67274328",info@curlystudio.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"Mācību studija ""Panda""",4360800773,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""TALAR""","Sabiedrība ar ierobežotu atbildību ""TALAR""","TĪNŪŽU IELA 5 - 601, OGRE, OGRES NOVADS, LV-5001",65022058,panda.studija@inbox.lv,Ogres novads,N,,,,,56.8207084,24.6049339
"Mācību studija ""Unikums-V""",3360800700,Fiziskas personas dibināta iestāde,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Vladimirs Reuts,Vladimirs Reuts,"STABU IELA 56 - 604, RĪGA, LV-1011",25915738,,Rīga,J,,,,,56.9534366,24.1339641
